"filename", "language", "Markdown", "JSON with Comments", "JavaScript", "JSON", "XML", "TypeScript", "Prisma", "Image", "Properties", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Owner\messenger-app\package.json", "JSON", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\Owner\messenger-app\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Owner\messenger-app\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 2, 16, 80
"c:\Users\Owner\messenger-app\public\images\avatar.png", "Image", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\Owner\messenger-app\public\images\bg-image.jpg", "Image", 0, 0, 0, 0, 0, 0, 0, 244, 0, 0, 0, 0, 31, 275
"c:\Users\Owner\messenger-app\public\images\logo.png", "Image", 0, 0, 0, 0, 0, 0, 0, 344, 0, 0, 0, 0, 1, 345
"c:\Users\Owner\messenger-app\public\next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Owner\messenger-app\public\vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Owner\messenger-app\tailwind.config.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"c:\Users\Owner\messenger-app\tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 29
"Total", "-", 53, 29, 34, 8672, 2, 517, 62, 611, 7, 1127, 6, 19, 460, 11599
